Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,67.180000,68.750000,65.930000,66.000000,65.124664,4392300
2018-05-08,65.690002,67.089996,64.790001,67.040001,66.150871,3766500
2018-05-09,68.440002,68.839996,66.730003,67.440002,66.545570,7238700
2018-05-10,68.230003,68.849998,67.529999,68.389999,67.482964,5652700
2018-05-11,68.680000,69.279999,68.029999,68.309998,67.404022,3622300
2018-05-14,68.660004,69.930000,68.660004,69.199997,68.282219,3804800
2018-05-15,69.050003,70.250000,68.849998,69.690002,68.765724,3543500
2018-05-16,70.250000,70.669998,69.610001,70.320000,69.387367,5106000
2018-05-17,70.610001,71.660004,70.610001,71.139999,70.196487,3867300
2018-05-18,71.220001,71.370003,70.339996,70.570000,69.634048,4110900
2018-05-21,71.199997,72.150002,70.930000,71.709999,70.758926,3436000
2018-05-22,72.080002,72.699997,70.449997,70.519997,69.584717,4380400
2018-05-23,69.900002,70.809998,69.300003,70.330002,69.397232,6673700
2018-05-24,69.269997,69.570000,68.839996,69.059998,68.144073,5721500
2018-05-25,67.529999,67.739998,66.220001,67.589996,66.693565,5863700
2018-05-29,66.709999,68.110001,66.639999,67.300003,66.407425,5045000
2018-05-30,67.889999,70.769997,67.889999,70.489998,69.555107,4850900
2018-05-31,69.889999,70.830002,69.470001,69.800003,68.874268,4666600
2018-06-01,69.959999,71.570000,69.389999,71.050003,70.107689,4390000
2018-06-04,71.400002,71.720001,69.279999,69.339996,68.420364,3804500
2018-06-05,69.000000,69.779999,68.349998,69.230003,68.311821,2903300
2018-06-06,69.559998,70.160004,68.660004,69.449997,68.528900,3764100
2018-06-07,70.099998,72.029999,69.849998,71.650002,70.699730,4663300
2018-06-08,71.720001,71.860001,70.959999,71.400002,70.453041,3087700
2018-06-11,71.419998,72.099998,71.010002,71.680000,70.729340,3260700
2018-06-12,71.290001,72.160004,70.660004,71.349998,70.650116,4560200
2018-06-13,71.110001,71.970001,70.889999,71.279999,70.580803,4140500
2018-06-14,72.070000,72.540001,70.779999,71.040001,70.343155,4624300
2018-06-15,70.650002,70.930000,67.540001,68.489998,67.818161,8703700
2018-06-18,68.980003,70.720001,68.540001,69.639999,68.956894,5630800
2018-06-19,68.589996,70.029999,68.500000,69.080002,68.402382,3835700
2018-06-20,69.769997,70.389999,68.739998,70.099998,69.412369,4941400
2018-06-21,69.750000,70.080002,68.879997,69.459999,68.778648,4884400
2018-06-22,72.239998,74.720001,71.959999,74.110001,73.383041,11491200
2018-06-25,73.830002,74.349998,71.370003,71.889999,71.184814,4605600
2018-06-26,72.190002,73.370003,71.370003,73.070000,72.353241,5008400
2018-06-27,73.949997,75.500000,73.879997,74.330002,73.600883,5773000
2018-06-28,74.769997,75.099998,73.190002,73.580002,72.858238,4125500
2018-06-29,73.529999,74.889999,73.220001,73.250000,72.531471,4443800
2018-07-02,72.699997,72.760002,71.629997,72.440002,71.729424,3623900
2018-07-03,73.589996,74.739998,72.980003,73.459999,72.739418,2185400
2018-07-05,73.940002,74.239998,72.309998,72.580002,71.868050,2853800
2018-07-06,71.889999,74.000000,71.800003,73.660004,72.937462,2880400
2018-07-09,74.230003,75.190002,74.230003,75.180000,74.442543,5557400
2018-07-10,75.800003,76.699997,74.779999,75.470001,74.729706,4230200
2018-07-11,74.500000,75.220001,72.400002,73.349998,72.630493,3778000
2018-07-12,73.589996,74.050003,72.610001,73.690002,72.967163,2887500
2018-07-13,73.610001,75.269997,73.430000,74.589996,73.858330,2825300
2018-07-16,73.300003,73.900002,71.580002,72.839996,72.125496,3239700
2018-07-17,72.150002,72.230003,70.940002,71.430000,70.729332,3855900
2018-07-18,71.010002,71.730003,70.120003,71.500000,70.798645,3018400
2018-07-19,71.150002,71.629997,70.470001,71.080002,70.382767,3427900
2018-07-20,71.239998,71.370003,70.570000,70.949997,70.254036,2530400
2018-07-23,71.400002,72.190002,70.980003,71.059998,70.362953,2852500
2018-07-24,71.940002,73.019997,71.250000,72.360001,71.650208,3048000
2018-07-25,72.160004,73.489998,72.120003,73.309998,72.590881,3449500
2018-07-26,73.050003,73.769997,72.739998,73.330002,72.610695,2837900
2018-07-27,72.790001,73.190002,71.989998,72.400002,71.689812,2407400
2018-07-30,73.180000,74.199997,73.010002,73.709999,72.986961,3736000
2018-07-31,73.790001,74.209999,72.739998,73.150002,72.432457,3507600
2018-08-01,71.949997,72.050003,67.809998,69.570000,68.887573,9216100
2018-08-02,68.830002,69.730003,68.260002,69.669998,68.986588,5484000
2018-08-03,69.459999,69.529999,67.769997,68.260002,67.590424,3959700
2018-08-06,69.000000,69.680000,67.599998,68.279999,67.610229,6847100
2018-08-07,68.550003,68.550003,64.400002,64.540001,63.906914,15395300
2018-08-08,64.150002,65.489998,63.930000,65.150002,64.510933,8035300
2018-08-09,65.400002,66.480003,65.089996,66.059998,65.412003,6292200
2018-08-10,65.790001,67.220001,65.739998,66.820000,66.164551,6783100
2018-08-13,66.660004,67.349998,66.190002,66.339996,65.689255,3854000
2018-08-14,67.150002,67.379997,66.580002,66.980003,66.322983,3626300
2018-08-15,66.070000,66.209999,62.259998,62.340000,61.728497,8720800
2018-08-16,62.869999,63.610001,62.250000,62.310001,61.698792,6578500
2018-08-17,62.939999,62.939999,61.750000,62.049999,61.441338,4882800
2018-08-20,62.000000,62.500000,61.830002,62.320000,61.708691,4291400
2018-08-21,62.880001,63.700001,62.400002,62.560001,61.946339,3875000
2018-08-22,63.119999,63.980000,63.009998,63.570000,62.946426,3848100
2018-08-23,63.070000,63.470001,62.650002,63.090000,62.471138,3179500
2018-08-24,63.740002,64.180000,63.230000,63.650002,63.025646,2925600
2018-08-27,63.770000,64.699997,63.540001,64.550003,63.916817,2985000
2018-08-28,64.650002,65.230003,64.169998,64.870003,64.233681,4141100
2018-08-29,65.610001,65.879997,64.459999,64.989998,64.352501,5443800
2018-08-30,64.839996,65.220001,63.759998,64.449997,63.817791,3794400
2018-08-31,64.209999,64.680000,63.700001,64.400002,63.768291,3216900
2018-09-04,64.410004,64.839996,63.689999,63.959999,63.332603,2452400
2018-09-05,63.720001,64.690002,63.110001,64.389999,63.758389,4251900
2018-09-06,64.330002,64.989998,63.369999,63.680000,63.055351,4271100
2018-09-07,63.189999,63.650002,62.380001,63.540001,62.916721,2513300
2018-09-10,63.820000,64.209999,63.119999,63.180000,62.560257,3239900
2018-09-11,62.529999,63.580002,62.189999,62.570000,62.202374,5325500
2018-09-12,63.099998,63.299999,60.549999,61.770000,61.407074,7113400
2018-09-13,61.590000,62.730000,61.259998,62.439999,62.073135,6499400
2018-09-14,62.320000,63.570000,62.320000,63.009998,62.639786,4341900
2018-09-17,63.240002,64.320000,63.240002,63.970001,63.594147,4000300
2018-09-18,64.610001,65.400002,64.470001,64.750000,64.369560,4404100
2018-09-19,64.739998,65.349998,64.570000,64.760002,64.379509,2636400
2018-09-20,65.029999,65.339996,63.660000,63.860001,63.484795,2641900
2018-09-21,64.099998,65.449997,63.849998,64.639999,64.260208,5139500
2018-09-24,66.029999,66.650002,65.339996,66.010002,65.622162,3068800
2018-09-25,66.349998,67.470001,66.349998,66.820000,66.427399,3250800
2018-09-26,66.389999,67.269997,66.389999,66.620003,66.228577,3658600
2018-09-27,67.309998,67.430000,66.470001,66.500000,66.109283,3067800
2018-09-28,66.379997,67.800003,66.300003,67.410004,67.013939,3543100
2018-10-01,67.769997,69.050003,67.540001,68.739998,68.336121,3920400
2018-10-02,68.830002,68.830002,67.660004,68.000000,67.600471,2511600
2018-10-03,68.220001,69.379997,67.849998,69.129997,68.723824,3332000
2018-10-04,68.639999,69.599998,68.309998,68.910004,68.505127,3101900
2018-10-05,68.879997,69.559998,68.540001,69.120003,68.713890,3229300
2018-10-08,69.050003,69.779999,68.389999,69.269997,68.863007,3049700
2018-10-09,69.889999,71.110001,69.360001,70.610001,70.195137,3586400
2018-10-10,70.589996,70.900002,67.959999,68.000000,67.600471,4418800
2018-10-11,67.419998,68.080002,65.930000,66.279999,65.890572,4332600
2018-10-12,67.199997,67.980003,66.300003,67.629997,67.232643,4466000
2018-10-15,67.809998,68.239998,66.680000,67.629997,67.232643,3920400
2018-10-16,68.129997,68.470001,67.500000,68.279999,67.878822,2458700
2018-10-17,68.010002,68.300003,66.599998,67.050003,66.656052,2828700
2018-10-18,66.160004,66.820000,65.529999,66.500000,66.109283,3416900
2018-10-19,66.669998,67.830002,65.900002,66.000000,65.612221,3454000
2018-10-22,65.830002,66.320000,63.570000,63.930000,63.554382,3623500
2018-10-23,62.650002,62.650002,60.830002,61.840000,61.476662,5391400
2018-10-24,62.689999,62.939999,59.540001,59.610001,59.259766,4596900
2018-10-25,60.230000,60.869999,59.520000,59.630001,59.279648,4198700
2018-10-26,58.889999,59.369999,57.220001,58.840000,58.494289,4270600
2018-10-29,58.689999,59.119999,54.860001,55.869999,55.541737,6520600
2018-10-30,55.849998,56.810001,54.560001,56.450001,56.118332,8197500
2018-10-31,57.580002,58.630001,52.990002,53.200001,52.887424,11552900
2018-11-01,53.570000,54.919998,53.540001,54.860001,54.537674,8405400
2018-11-02,54.849998,55.450001,52.849998,53.209999,52.897366,5731500
2018-11-05,54.470001,54.939999,53.500000,54.689999,54.368668,5944400
2018-11-06,54.770000,55.110001,53.500000,54.770000,54.448200,5653700
2018-11-07,58.689999,59.500000,57.369999,57.889999,57.549870,11067600
2018-11-08,59.000000,60.139999,57.599998,57.790001,57.450459,9619800
2018-11-09,56.509998,58.669998,56.189999,58.209999,57.867989,6324300
2018-11-12,58.680000,58.910000,56.020000,56.270000,55.939388,6141800
2018-11-13,55.610001,56.799999,54.849998,54.930000,54.607262,6214400
2018-11-14,56.310001,56.590000,53.959999,54.400002,54.080376,5172100
2018-11-15,53.939999,55.720001,53.740002,55.509998,55.183849,5151500
2018-11-16,56.080002,56.810001,55.720001,56.380001,56.048740,8500500
2018-11-19,54.709999,56.310001,54.139999,55.610001,55.283264,7744000
2018-11-20,54.349998,54.610001,52.130001,52.349998,52.042419,5985800
2018-11-21,52.869999,54.610001,52.730000,53.570000,53.255249,4829500
2018-11-23,51.730000,52.310001,51.330002,51.619999,51.316708,2404100
